Date,Vancouver One Storey Home,Vancouver Two Storey Home,Vancouver Townhouse,Vancouver Apartment,Kelowna One Storey Home,Kelowna Two Storey Home,Kelowna Townhouse,Kelowna Apartment,Canada One Storey Home,Canada Two Storey Home,Canada Townhouse,Canada Apartment
2005-01-01,435200,616100,314600,252600,268300,304600,225700,157600,215700,302800,207300,188900
2005-02-01,435300,615700,315700,253600,267900,309300,227200,164000,216100,303600,208100,189800
2005-03-01,435300,614300,316700,254900,268900,313100,227000,162000,217400,304900,208700,190000
2005-04-01,436300,614500,318000,255500,268200,315800,230300,161400,217900,305700,209300,190500
2005-05-01,437800,616600,319800,258100,269300,316200,228200,158300,218700,306000,209500,190900
2005-06-01,440200,619300,321900,262000,270200,317800,235600,167000,219300,307800,210200,192300
2005-07-01,448400,630100,326600,266800,271700,321400,236800,168400,221300,309600,211900,194000
2005-08-01,456800,639600,331100,269800,280300,326100,238900,172900,223600,311400,213900,195000
2005-09-01,464700,649400,336000,275400,287900,330500,246300,229500,226000,314000,216000,198300
2005-10-01,472000,659600,340100,279500,289500,337400,242800,183100,228300,317300,218200,199200
2005-11-01,478900,669800,344300,283900,296400,344000,253700,179200,231200,320400,220700,201500
2005-12-01,486100,680000,348500,288600,301400,351100,252500,182800,233900,323300,223000,204300
2006-01-01,493000,690600,354300,293500,304900,357400,260000,185000,236800,326600,225900,207000
2006-02-01,499900,700800,359900,299000,314700,363000,268400,191200,239900,329700,229000,209600
2006-03-01,507000,711900,365300,303400,319200,369500,271700,195000,242600,333500,231900,211900
2006-04-01,512900,720600,371100,308700,326600,375600,273000,199000,245700,337300,235600,214800
2006-05-01,520000,729600,376700,313400,335000,385200,278100,200700,249500,340700,239600,217600
2006-06-01,527300,738900,382700,316400,339300,394600,283500,199900,253300,343600,244200,220600
2006-07-01,531300,747200,386200,320300,340700,397300,291100,205000,256300,346700,248300,223800
2006-08-01,535100,755300,389700,324100,348500,400600,298600,207100,259100,349400,252200,227200
2006-09-01,538800,762200,393400,327100,353100,404000,287800,211300,261600,351800,256200,230700
2006-10-01,543100,768700,397500,329000,356000,409100,301600,214000,264300,354100,259600,232600
2006-11-01,547600,774900,402200,331300,358200,414200,306500,213700,267000,356100,262600,234800
2006-12-01,551700,781000,406200,331500,356600,419500,312600,219200,270700,358400,266000,236700
2007-01-01,556100,787200,408600,337100,373100,427200,308600,216600,273400,361900,268000,239900
2007-02-01,560300,793300,410600,339300,379700,433900,313800,218600,277100,365300,271700,242000
2007-03-01,564600,798200,412400,342000,382400,441200,318800,220600,280200,368500,275100,245200
2007-04-01,569100,806700,414700,344500,383700,446600,325500,220800,282400,371800,277500,247700
2007-05-01,574700,815700,417200,347200,392200,453200,329800,233300,286400,375600,280500,250800
2007-06-01,581200,825300,420100,350000,398100,459500,332200,234200,290200,378500,283200,253200
2007-07-01,586700,835200,424000,354700,407600,467400,331100,236400,292400,381100,285200,255400
2007-08-01,592500,844100,428300,359100,411400,475000,342900,242400,294200,383400,287500,257300
2007-09-01,598300,853100,432500,362200,421700,483500,347200,241500,296600,385200,288400,259000
2007-10-01,604400,863000,436700,367300,430700,491500,352500,270100,298300,387200,289700,260800
2007-11-01,610600,872800,441100,372700,435800,499900,355900,248300,299600,388900,291100,261900
2007-12-01,616500,882800,444800,376700,442600,508700,366300,253300,301200,391700,292700,263500
2008-01-01,621100,888600,448900,378700,442900,511200,368700,262900,303300,394200,294300,264700
2008-02-01,624500,894800,452200,381300,443000,511200,365500,257800,304300,395800,294900,266200
