,All-items,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food and energy,All-items excluding energy,Energy,Goods,Services,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment with advanced education, male (% of male labor force with advanced education)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Gross savings (% of GDP),GDP per capita (current US$),Adjusted net national income (constant 2010 US$),Export value index (2000 = 100),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Population ages 15-64 (% of total population),"Part time employment, total (% of total employment)",Tax revenue (current LCU),GDP (constant 2010 US$),Subsidies and other transfers (current LCU),Urban population,Urban population growth (annual %),BC New Housing Price Index,Prime Rate,Bank of Canada Overnight Rate
1960,,,,,,,,,,,,,,,,,,,,,2259.294285,,,7.0995671,58.57401678,,,,,12368141.0,,,,
1961,,,,,,,,,,,,,,,,,,,,,2240.433039,,,3.216283406,58.44639158,,,,,12729040.0,2.876210515,,,
1962,,,,,,,,,,,,,,,,,,,,,2268.585346,,,4.465680698,58.43288695,,,,,13121753.0,3.038539008,,,
1963,,,,,,,,,,,,,,,,,,,,,2374.498448,,,3.956760568,58.52210835,,,,,13522659.0,3.009533548,,,
1964,,,,,,,,,,,,,,,,,,,,,2555.111146,,,4.55741474,58.69766396,,,,,13934678.0,3.001383051,,,
1965,,,,,,,,,,,,,,,,,,,,,2770.361804,,,5.804448248,58.95579678,,,,,14343688.0,2.892943143,,,
1966,,,,,,,,,,,,,,,,,,,,,3047.106147,,,7.385698636,59.37027269,,,,,14763748.0,2.886473167,,,
1967,,,,,,,,,,,,,,,,,,,,,3217.159294,,,3.609857084,59.91263177,,,,,15136519.0,2.493558436,,,
1968,,,,,,,,,,,,,,,,,,,,,3462.678872,,,4.818491969,60.53932654,,,,,15487885.0,2.294780457,,,
1969,,,,,,,,,,,,,,,,,,,,,3763.953379,,,4.014679491,61.19493381,,,,,15804855.0,2.025906591,,,
1970,,,,,,,,,,,,,,,,,,,,21.10273085,4121.932814,412000000000.0,,4.715359333,61.84738176,,,,,16132459.0,2.051615806,,,
1971,,,,,,,,,,,,,,,,,,,,21.15135782,4520.162878,432000000000.0,,4.250125188,62.61301837,,,,,16710910.0,3.522847016,,,
1972,,,,,,,,,,,,,,,,,,,,21.20652594,5089.587902,460000000000.0,,3.569187544,63.30271925,,,,,16879589.0,1.0043341,,,
1973,,,,,,,,,,,,,,,,,,,,23.30275259,5838.660894,494000000000.0,,4.073671904,63.95343774,,,,,17060238.0,1.06453522,,,
1974,,,,,,,,,,,,,,,,,,,,24.20514589,7033.011021,513000000000.0,,5.394827385,64.62150568,,,,,17272703.0,1.237690137,,,
1975,,,,,,,,,,,,,,,,,,,,21.18136154,7511.211343,526000000000.0,,4.977438748,65.32126674,,,,,17498862.0,1.300845615,,,
1976,,,,,,,,,,,,,,,,,,,55.68,21.93687931,8809.26466,555000000000.0,,4.353233542,65.81498811,34.31999969,,,,17705309.0,1.172868786,,,
1977,,,,,,,,,,,,,,,,,,,55.69,20.687403,8919.057461,566000000000.0,,3.931986305,66.37101271,33.56999969,,,,17923214.0,1.223220604,,,
1978,,,,,,,,,,,,,,,,,,,56.42,20.39247923,9123.691334,581000000000.0,,3.632972485,66.93542979,30.45000076,,,,18112108.0,1.048392076,,,
1979,,,,,,,,,,,,,,,,,,,58.89,22.15099231,10043.66096,588000000000.0,,4.344052652,67.42997139,29.70999908,,,,18301934.0,1.042607242,,,
1980,,,,,,,,,,,,,,,,,,,59.77,22.26766568,11170.56397,598000000000.0,,4.598776839,67.81649388,33.02000046,,,,18549289.0,1.342472215,,,
1981,,,,,,,,,,,,,,,,,,,60.4,22.56787418,12337.46625,621000000000.0,,4.263153883,68.09673374,36.97999954,,,,18791654.0,1.298137562,,18.25,16.89
1982,,,,,,,,,,,,,,,,,,,55.04,19.97246332,12481.87479,602000000000.0,,4.350474285,68.29295975,36.31999969,,,,19057229.0,1.403366956,,16.5,14.49
1983,,,,,,,,,,,,,,,,,,,54.6,20.1300743,13425.12249,620000000000.0,,3.327466132,68.40598208,35.5,,,,19287381.0,1.200454322,,12.0,9.18
1984,,,,,,,,,,,,,,,,,,,56.16,20.99126374,13877.91708,653000000000.0,,3.871126868,68.45844139,35.0,,,,19511294.0,1.154242953,,11.0,9.79
